�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-11-18,'002473,ST吤應,6.17,6.22,6.06,6.21,6.23,-0.06,-0.9631,0.1626,260200,1610539.0,987200000.0,987200000.0
2020-11-17,'002473,ST吤應,6.23,6.27,6.17,6.26,6.27,-0.04,-0.638,0.2559,409402,2545027.4,996800000.0,996800000.0
2020-11-16,'002473,ST吤應,6.27,6.27,6.16,6.24,6.24,0.03,0.4808,0.2596,415300,2584201.0,1003200000.0,1003200000.0
2020-11-13,'002473,ST吤應,6.24,6.24,6.15,6.21,6.25,-0.01,-0.16,0.1637,261900,1625114.0,998400000.0,998400000.0
2020-11-12,'002473,ST吤應,6.25,6.31,6.2,6.28,6.28,-0.03,-0.4777,0.1804,288617,1802936.74,1000000000.0,1000000000.0
2020-11-11,'002473,ST吤應,6.28,6.34,6.23,6.28,6.24,0.04,0.641,0.1168,186900,1170642.0,1004800000.0,1004800000.0
2020-11-10,'002473,ST吤應,6.24,6.32,6.24,6.31,6.31,-0.07,-1.1094,0.229,366400,2299945.0,998400000.0,998400000.0
2020-11-09,'002473,ST吤應,6.31,6.32,5.93,6.0,6.07,0.24,3.9539,0.2961,473781,2945423.83,1009600000.0,1009600000.0
2020-11-06,'002473,ST吤應,6.07,6.27,5.96,6.27,6.27,-0.2,-3.1898,0.54,864007,5255718.31,971200000.0,971200000.0
2020-11-05,'002473,ST吤應,6.27,6.31,6.21,6.22,6.2,0.07,1.129,0.2478,396500,2478669.0,1003200000.0,1003200000.0
2020-11-04,'002473,ST吤應,6.2,6.35,6.19,6.33,6.33,-0.13,-2.0537,0.2826,452201,2823889.23,992000000.0,992000000.0
2020-11-03,'002473,ST吤應,6.33,6.35,6.21,6.23,6.23,0.1,1.6051,0.2451,392100,2459265.34,1012800000.0,1012800000.0
2020-11-02,'002473,ST吤應,6.23,6.3,6.15,6.17,6.3,-0.07,-1.1111,0.1351,216101,1345288.24,996800000.0,996800000.0
2020-10-30,'002473,ST吤應,6.3,6.38,6.21,6.28,6.34,-0.04,-0.6309,0.3016,482600,3029841.0,1008000000.0,1008000000.0
2020-10-29,'002473,ST吤應,6.34,6.38,6.02,6.13,6.28,0.06,0.9554,0.4856,776924,4806370.19,1014400000.0,1014400000.0
2020-10-28,'002473,ST吤應,6.28,6.42,5.85,6.3,6.11,0.17,2.7823,1.4964,2394204,15001107.81,1004800000.0,1004800000.0
2020-10-27,'002473,ST吤應,6.11,6.11,5.85,5.93,5.82,0.29,4.9828,0.7749,1239894,7477219.42,977600000.0,977600000.0
2020-10-26,'002473,ST吤應,5.82,5.82,5.54,5.55,5.54,0.28,5.0542,0.7135,1141594,6595681.08,931200000.0,931200000.0
2020-10-23,'002473,ST吤應,5.54,5.66,5.54,5.66,5.63,-0.09,-1.5986,0.1355,216800,1207566.0,886400000.0,886400000.0
2020-10-22,'002473,ST吤應,5.63,5.65,5.5,5.6,5.66,-0.03,-0.53,0.1106,176900,990140.0,900800000.0,900800000.0
2020-10-21,'002473,ST吤應,5.66,5.76,5.5,5.75,5.76,-0.1,-1.7361,0.243,388800,2189641.01,905600000.0,905600000.0
2020-10-20,'002473,ST吤應,5.76,5.76,5.66,5.7,5.78,-0.02,-0.346,0.2091,334600,1907839.0,921600000.0,921600000.0
2020-10-19,'002473,ST吤應,5.78,5.8,5.65,5.8,5.78,0.0,0.0,0.0727,116300,666289.0,924800000.0,924800000.0
2020-10-16,'002473,ST吤應,5.78,5.8,5.68,5.68,5.77,0.01,0.1733,0.1275,204021,1169962.75,924800000.0,924800000.0
2020-10-15,'002473,ST吤應,5.77,5.79,5.71,5.76,5.76,0.01,0.1736,0.1246,199407,1145888.25,923200000.0,923200000.0
2020-10-14,'002473,ST吤應,5.76,5.84,5.7,5.84,5.84,-0.08,-1.3699,0.2174,347807,2002990.18,921600000.0,921600000.0
2020-10-13,'002473,ST吤應,5.84,5.93,5.77,5.83,5.83,0.01,0.1715,0.2906,465020,2713531.8,934400000.0,934400000.0
2020-10-12,'002473,ST吤應,5.83,5.89,5.65,5.68,5.7,0.13,2.2807,0.4415,706400,4070515.52,932800000.0,932800000.0
2020-10-09,'002473,ST吤應,5.7,5.7,5.51,5.56,5.53,0.17,3.0741,0.5729,916645,5125091.26,912000000.0,912000000.0
2020-09-30,'002473,ST吤應,5.53,5.6,5.4,5.52,5.53,0.0,0.0,0.3343,534900,2945427.0,884800000.0,884800000.0
2020-09-29,'002473,ST吤應,5.53,5.63,5.48,5.61,5.63,-0.1,-1.7762,0.3448,551700,3052784.0,884800000.0,884800000.0
2020-09-28,'002473,ST吤應,5.63,5.72,5.5,5.72,5.7,-0.07,-1.2281,0.3677,588300,3269153.0,900800000.0,900800000.0
2020-09-25,'002473,ST吤應,5.7,5.93,5.7,5.88,5.93,-0.23,-3.8786,0.2584,413401,2392410.64,912000000.0,912000000.0
2020-09-24,'002473,ST吤應,5.93,6.22,5.93,6.19,6.24,-0.31,-4.9679,0.2876,460221,2770033.16,948800000.0,948800000.0
2020-09-23,'002473,ST吤應,6.24,6.33,6.2,6.28,6.28,-0.04,-0.6369,0.3051,488121,3053923.8,998400000.0,998400000.0
2020-09-22,'002473,ST吤應,6.28,6.38,6.25,6.35,6.41,-0.13,-2.0281,0.253,404800,2555201.9,1004800000.0,1004800000.0
2020-09-21,'002473,ST吤應,6.41,6.44,6.34,6.38,6.38,0.03,0.4702,0.3402,544302,3471695.84,1025600000.0,1025600000.0
2020-09-18,'002473,ST吤應,6.38,6.39,6.26,6.34,6.33,0.05,0.7899,0.3304,528600,3342645.0,1020800000.0,1020800000.0
2020-09-17,'002473,ST吤應,6.33,6.46,6.3,6.32,6.28,0.05,0.7962,0.2803,448402,2852928.64,1012800000.0,1012800000.0
2020-09-16,'002473,ST吤應,6.28,6.35,6.23,6.35,6.38,-0.1,-1.5674,0.2427,388300,2445934.0,1004800000.0,1004800000.0
2020-09-15,'002473,ST吤應,6.38,6.58,6.3,6.52,6.52,-0.14,-2.1472,0.6615,1058400,6757973.0,1020800000.0,1020800000.0
2020-09-14,'002473,ST吤應,6.52,6.59,6.3,6.4,6.4,0.12,1.875,0.3893,622900,4006953.0,1043200000.0,1043200000.0
2020-09-11,'002473,ST吤應,6.4,6.5,6.17,6.5,6.47,-0.07,-1.0819,0.5839,934224,5842219.68,1024000000.0,1024000000.0
2020-09-10,'002473,ST吤應,6.47,6.86,6.46,6.84,6.8,-0.33,-4.8529,0.6961,1113700,7387977.97,1035200000.0,1035200000.0
2020-09-09,'002473,ST吤應,6.8,6.99,6.8,6.96,6.96,-0.16,-2.2989,0.6674,1067900,7324003.0,1088000000.0,1088000000.0
2020-09-08,'002473,ST吤應,6.96,7.04,6.9,6.99,7.0,-0.04,-0.5714,0.5063,810000,5653172.0,1113600000.0,1113600000.0
2020-09-07,'002473,ST吤應,7.0,7.13,6.96,7.08,7.08,-0.08,-1.1299,0.4589,734200,5171127.0,1120000000.0,1120000000.0
