хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2020-11-18,'002181,та ╢╚ ц╫,4.89,4.92,4.8,4.81,4.83,0.06,1.2422,0.761,8633553,42186298.1,5677574470.86,5547375301.53
2020-11-17,'002181,та ╢╚ ц╫,4.83,4.84,4.79,4.81,4.82,0.01,0.2075,0.3383,3838101,18509056.8,5607910980.42,5479309346.91
2020-11-16,'002181,та ╢╚ ц╫,4.82,4.83,4.77,4.77,4.8,0.02,0.4167,0.3648,4138100,19894489.0,5596300398.68,5467965021.14
2020-11-13,'002181,та ╢╚ ц╫,4.8,4.8,4.68,4.78,4.81,-0.01,-0.2079,0.3664,4156443,19737408.56,5573079235.2,5445276369.6
2020-11-12,'002181,та ╢╚ ц╫,4.81,4.83,4.75,4.75,4.76,0.05,1.0504,0.3083,3497203,16773608.77,5584689816.94,5456620695.37
2020-11-11,'002181,та ╢╚ ц╫,4.76,4.84,4.75,4.84,4.87,-0.11,-2.2587,0.3348,3797602,18213543.56,5526636908.24,5399899066.52
2020-11-10,'002181,та ╢╚ ц╫,4.87,4.9,4.78,4.87,4.84,0.03,0.6198,0.4451,5048832,24410558.36,5654353307.38,5524686649.99
2020-11-09,'002181,та ╢╚ ц╫,4.84,4.89,4.78,4.83,4.82,0.02,0.4149,0.5124,5812467,28178986.62,5619521562.16,5490653672.68
2020-11-06,'002181,та ╢╚ ц╫,4.82,4.84,4.77,4.84,4.78,0.04,0.8368,0.3217,3649296,17522155.92,5596300398.68,5467965021.14
2020-11-05,'002181,та ╢╚ ц╫,4.78,4.78,4.7,4.7,4.69,0.09,1.919,0.3037,3445794,16355675.75,5549858071.72,5422587718.06
2020-11-04,'002181,та ╢╚ ц╫,4.69,4.73,4.63,4.72,4.7,-0.01,-0.2128,0.2814,3192001,14918553.66,5445362836.06,5320488786.13
2020-11-03,'002181,та ╢╚ ц╫,4.7,4.7,4.58,4.6,4.6,0.1,2.1739,0.3813,4325464,20138098.76,5456973417.8,5331833111.9
2020-11-02,'002181,та ╢╚ ц╫,4.6,4.75,4.56,4.75,4.75,-0.15,-3.1579,0.6847,7766995,35835124.8,5340867600.4,5218389854.2
2020-10-30,'002181,та ╢╚ ц╫,4.75,4.9,4.73,4.9,4.9,-0.15,-3.0612,0.7177,8142058,38939900.58,5515026326.5,5388554740.75
2020-10-29,'002181,та ╢╚ ц╫,4.9,4.95,4.84,4.9,4.91,-0.01,-0.2037,0.4836,5486522,26829952.26,5689185052.6,5558719627.3
2020-10-28,'002181,та ╢╚ ц╫,4.91,4.92,4.84,4.86,4.86,0.05,1.0288,0.4037,4580257,22393091.94,5700795634.34,5570063953.07
2020-10-27,'002181,та ╢╚ ц╫,4.86,4.93,4.78,4.78,4.8,0.06,1.25,0.8707,9877306,48190301.72,5642742725.64,5513342324.22
2020-10-26,'002181,та ╢╚ ц╫,4.8,4.84,4.68,4.75,4.75,0.05,1.0526,0.4202,4766500,22828554.99,5573079235.2,5445276369.6
2020-10-23,'002181,та ╢╚ ц╫,4.75,4.9,4.74,4.84,4.83,-0.08,-1.6563,0.4582,5198210,25061218.9,5515026326.5,5388554740.75
2020-10-22,'002181,та ╢╚ ц╫,4.83,4.86,4.81,4.84,4.83,0.0,0.0,0.3429,3890170,18815725.4,5607910980.42,5479309346.91
2020-10-21,'002181,та ╢╚ ц╫,4.83,4.86,4.79,4.82,4.82,0.01,0.2075,0.2658,3015752,14538472.9,5607910980.42,5479309346.91
2020-10-20,'002181,та ╢╚ ц╫,4.82,4.86,4.74,4.75,4.74,0.08,1.6878,0.3795,4305238,20617674.86,5596300398.68,5467965021.14
2020-10-19,'002181,та ╢╚ ц╫,4.74,4.88,4.72,4.85,4.83,-0.09,-1.8634,0.3489,3958216,18950315.68,5503415744.76,5377210414.98
2020-10-16,'002181,та ╢╚ ц╫,4.83,4.86,4.7,4.72,4.71,0.12,2.5478,0.6605,7492627,35921839.25,5607910980.42,5479309346.91
2020-10-15,'002181,та ╢╚ ц╫,4.71,4.74,4.67,4.68,4.63,0.08,1.7279,0.4408,5000260,23520693.8,5468583999.54,5343177437.67
2020-10-14,'002181,та ╢╚ ц╫,4.63,4.7,4.61,4.7,4.7,-0.07,-1.4894,0.2518,2856420,13257085.2,5375699345.62,5252422831.51
2020-10-13,'002181,та ╢╚ ц╫,4.7,4.73,4.67,4.73,4.72,-0.02,-0.4237,0.19,2155820,10119787.0,5456973417.8,5331833111.9
2020-10-12,'002181,та ╢╚ ц╫,4.72,4.73,4.63,4.63,4.63,0.09,1.9438,0.2984,3385252,15891927.84,5480194581.28,5354521763.44
2020-10-09,'002181,та ╢╚ ц╫,4.63,4.65,4.55,4.55,4.54,0.09,1.9824,0.1795,2036020,9410738.6,5375699345.62,5252422831.51
2020-09-30,'002181,та ╢╚ ц╫,4.54,4.6,4.52,4.54,4.54,0.0,0.0,0.1732,1964800,8950736.0,5271204109.96,5150323899.58
2020-09-29,'002181,та ╢╚ ц╫,4.54,4.56,4.49,4.53,4.48,0.06,1.3393,0.142,1611011,7288469.53,5271204109.96,5150323899.58
2020-09-28,'002181,та ╢╚ ц╫,4.48,4.56,4.48,4.54,4.53,-0.05,-1.1038,0.1469,1666958,7524537.32,5201540619.52,5082257944.96
2020-09-25,'002181,та ╢╚ ц╫,4.53,4.62,4.5,4.59,4.58,-0.05,-1.0917,0.2496,2831409,12906936.51,5259593528.22,5138979573.81
2020-09-24,'002181,та ╢╚ ц╫,4.58,4.69,4.58,4.68,4.7,-0.12,-2.5532,0.3073,3486169,16082576.94,5317646436.92,5195701202.66
2020-09-23,'002181,та ╢╚ ц╫,4.7,4.8,4.69,4.72,4.71,-0.01,-0.2123,0.2653,3010150,14214657.0,5456973417.8,5331833111.9
2020-09-22,'002181,та ╢╚ ц╫,4.71,4.77,4.68,4.77,4.8,-0.09,-1.875,0.2493,2827600,13356079.0,5468583999.54,5343177437.67
2020-09-21,'002181,та ╢╚ ц╫,4.8,4.82,4.77,4.81,4.8,0.0,0.0,0.2385,2705340,12969624.64,5573079235.2,5445276369.6
2020-09-18,'002181,та ╢╚ ц╫,4.8,4.81,4.71,4.73,4.75,0.05,1.0526,0.2531,2871000,13679735.0,5573079235.2,5445276369.6
2020-09-17,'002181,та ╢╚ ц╫,4.75,4.76,4.68,4.69,4.71,0.04,0.8493,0.1938,2198556,10368963.08,5515026326.5,5388554740.75
2020-09-16,'002181,та ╢╚ ц╫,4.71,4.76,4.69,4.75,4.73,-0.02,-0.4228,0.229,2597489,12260065.19,5468583999.54,5343177437.67
2020-09-15,'002181,та ╢╚ ц╫,4.73,4.79,4.71,4.79,4.81,-0.08,-1.6632,0.3976,4510100,21339121.56,5491805163.02,5365866089.21
2020-09-14,'002181,та ╢╚ ц╫,4.81,4.91,4.78,4.9,4.88,-0.07,-1.4344,0.5318,6032782,29116275.16,5584689816.94,5456620695.37
2020-09-11,'002181,та ╢╚ ц╫,4.88,4.9,4.8,4.83,4.85,0.03,0.6186,0.3965,4498164,21780261.2,5665963889.12,5536030975.76
2020-09-10,'002181,та ╢╚ ц╫,4.85,5.05,4.85,5.04,5.0,-0.15,-3.0,0.728,8259196,40778887.0,5631132143.9,5501997998.45
2020-09-09,'002181,та ╢╚ ц╫,5.0,5.11,4.99,5.05,5.08,-0.08,-1.5748,0.6842,7761512,39059928.08,5805290870.0,5672162885.0
2020-09-08,'002181,та ╢╚ ц╫,5.08,5.08,4.97,5.0,4.99,0.09,1.8036,0.5006,5679097,28571689.65,5898175523.92,5762917491.16
2020-09-07,'002181,та ╢╚ ц╫,4.99,5.06,4.96,4.99,4.96,0.03,0.6048,0.5649,6408146,32139705.27,5793680288.26,5660818559.23
